longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,median_house_value
-118.39,34.12,29,6447,1012.0,2184,960,8.2816,<1H OCEAN,480634.57
-120.42,34.89,24,2020,307.0,855,283,5.0099,<1H OCEAN,227205.09
-118.45,34.25,36,1453,270.0,808,275,4.3839,<1H OCEAN,204607.0
-118.1,33.91,35,1653,325.0,1072,301,3.2708,<1H OCEAN,168704.0
-117.07,32.77,38,3779,614.0,1495,614,4.3529,NEAR OCEAN,212466.0
-118.04,33.93,35,1805,387.0,1505,366,4.1667,<1H OCEAN,165345.0
-122.27,37.83,49,1655,366.0,754,329,1.375,NEAR BAY,115170.0
-122.26,37.46,26,5067,750.0,1996,728,7.0001,NEAR OCEAN,427974.21
-122.03,37.36,16,2697,803.0,1369,723,4.4699,<1H OCEAN,279822.01
-117.61,33.43,24,2303,399.0,851,379,3.9875,NEAR OCEAN,253985.07
-118.32,34.06,36,3239,722.0,1383,612,4.5918,<1H OCEAN,405358.3
-121.23,37.96,44,2204,473.0,1277,435,1.5539,INLAND,68725.0
-121.2,37.81,26,395,74.0,193,72,7.3718,INLAND,275427.02
-121.91,37.24,24,5046,1001.0,2449,968,4.7118,<1H OCEAN,270291.0
-118.48,34.28,35,2132,368.0,1128,341,5.3107,<1H OCEAN,238986.0
-117.65,34.1,44,1526,337.0,831,326,3.0284,INLAND,127043.0
-121.59,39.82,12,1958,369.0,875,354,2.3507,INLAND,93939.0
-118.97,35.41,36,1896,315.0,937,303,3.996,INLAND,97262.0
-118.06,33.88,17,7187,1073.0,3844,1068,6.5901,<1H OCEAN,341491.01
-118.39,33.85,24,4373,871.0,1830,824,5.7128,<1H OCEAN,370002.09
-117.98,33.73,18,3833,,2192,996,3.4679,<1H OCEAN,193602.0
-118.32,33.79,35,2924,658.0,1675,602,3.8287,<1H OCEAN,293773.0
-120.27,34.72,14,1289,277.0,693,237,3.2569,<1H OCEAN,204787.0
-119.65,36.33,52,1257,257.0,624,243,2.3523,INLAND,64254.0
-119.86,36.82,12,1488,253.0,675,223,4.7622,INLAND,113794.0
-119.23,35.78,8,1612,343.0,1230,330,2.1806,INLAND,65644.0
-118.35,34.16,45,1390,281.0,538,270,4.2212,<1H OCEAN,305657.03
-120.94,37.68,4,13315,2424.0,6420,2289,4.2471,INLAND,168432.0
-118.99,35.24,40,282,59.0,213,71,2.35,INLAND,76858.0
-121.11,37.47,12,2263,410.0,913,330,3.5795,INLAND,137849.0
-118.02,34.08,28,2769,631.0,2452,581,2.6071,INLAND,172906.0
-120.17,39.33,10,614,141.0,195,95,0.9283,INLAND,102904.0
-118.35,34.02,34,3978,1073.0,2725,1035,1.7622,<1H OCEAN,147857.01
-123.34,39.5,15,2342,535.0,1064,433,1.8967,INLAND,87086.0
-122.24,40.18,39,2191,493.0,1307,499,1.6483,INLAND,59781.0
-122.03,37.36,28,2490,345.0,948,361,6.4913,<1H OCEAN,368674.06
-117.09,32.58,12,2565,567.0,1785,545,3.0273,NEAR OCEAN,128445.0
-118.33,34.18,45,1552,315.0,785,316,3.7411,<1H OCEAN,233666.01
-121.44,38.53,37,1951,432.0,1089,411,2.3272,INLAND,87071.0
-119.7,34.43,35,1402,369.0,654,385,2.6205,<1H OCEAN,319633.09
-117.15,34.22,10,1039,174.0,317,109,7.2371,INLAND,243241.0
-118.37,33.87,18,2516,485.0,1128,433,5.0114,<1H OCEAN,333839.0
-118.01,33.85,29,3061,612.0,2396,640,4.6326,<1H OCEAN,201447.0
-122.32,37.94,47,1911,283.0,697,275,6.2712,NEAR BAY,339602.06
-117.96,33.94,34,2228,399.0,1159,378,4.8906,<1H OCEAN,210184.0
