Area,Price,BHK_Count,Rate per sqft,Status,Property Type,Locality,Builder Name,RERA Approval,,Socity,Company Name,Flat Type
1091,37800000,3,34678,Under Construction,3 BHK Apartment in Godrej Aristocrat,Sector 49,ETHOS PRO REALTORS,Approved by RERA,, Godrej Aristocrat,Godrej,Apartment
1002,34700000,3,34665,Under Construction,3 BHK Apartment in Godrej Aristocrat,Sector 49,ETHOS PRO REALTORS,Approved by RERA,, Godrej Aristocrat,Godrej,Apartment
1795,37600000,3,21000,Under Construction,3 BHK Apartment in M3M M3M Crown,Sector 111,ETHOS PRO REALTORS,Approved by RERA,, M3M M3M Crown,M3M,Apartment
1795,37600000,3,21000,Under Construction,3 BHK Apartment in M3M M3M Crown,Sector 111,ETHOS PRO REALTORS,Approved by RERA,, M3M M3M Crown,M3M,Apartment
2248,47200000,4,21000,Under Construction,4 BHK Apartment in M3M M3M Crown,Sector 111,ETHOS PRO REALTORS,Approved by RERA,, M3M M3M Crown,M3M,Apartment
2248,47200000,4,21000,Under Construction,4 BHK Apartment in M3M M3M Crown,Sector 111,ETHOS PRO REALTORS,Approved by RERA,, M3M M3M Crown,M3M,Apartment
1555,32600000,3,21000,Under Construction,3 BHK Apartment in M3M M3M Crown,Sector 111,ETHOS PRO REALTORS,Approved by RERA,, M3M M3M Crown,M3M,Apartment
1555,32600000,3,21000,Under Construction,3 BHK Apartment in M3M M3M Crown,Sector 111,ETHOS PRO REALTORS,Approved by RERA,, M3M M3M Crown,M3M,Apartment
2510,52700000,4,21000,Under Construction,4 BHK Apartment in M3M M3M Crown,Sector 111,ETHOS PRO REALTORS,Approved by RERA,, M3M M3M Crown,M3M,Apartment
2510,52700000,4,21000,Under Construction,4 BHK Apartment in M3M M3M Crown,Sector 111,ETHOS PRO REALTORS,Approved by RERA,, M3M M3M Crown,M3M,Apartment
1469,55000000,4,37465,Under Construction,4 BHK Apartment in Godrej Aristocrat,Sector 49,home,Approved by RERA,, Godrej Aristocrat,Godrej,Apartment
1731,68400000,4,39514,Under Construction,4 BHK Apartment in Godrej Aristocrat,Sector 49,Property In Gurgaon,Approved by RERA,, Godrej Aristocrat,Godrej,Apartment
1731,68400000,4,39514,Under Construction,4 BHK Apartment in Godrej Aristocrat,Sector 49,properties for sale in Gurgaon,Approved by RERA,, Godrej Aristocrat,Godrej,Apartment
1751,65500000,4,37407,Under Construction,4 BHK Apartment in Godrej Aristocrat,Sector 49,The Assetree,Approved by RERA,, Godrej Aristocrat,Godrej,Apartment
1751,65500000,4,37407,Under Construction,4 BHK Apartment in Godrej Aristocrat,Sector 49,The Assetree,Approved by RERA,, Godrej Aristocrat,Godrej,Apartment
968,33600000,3,34746,Under Construction,3 BHK Apartment in Godrej Aristocrat,Sector 49,The Assetree,Approved by RERA,, Godrej Aristocrat,Godrej,Apartment
968,33600000,3,34746,Under Construction,3 BHK Apartment in Godrej Aristocrat,Sector 49,The Assetree,Approved by RERA,, Godrej Aristocrat,Godrej,Apartment
1109,38400000,3,34625,Under Construction,3 BHK Apartment in Godrej Aristocrat,Sector 49,The Assetree,Approved by RERA,, Godrej Aristocrat,Godrej,Apartment
1109,38400000,3,34625,Under Construction,3 BHK Apartment in Godrej Aristocrat,Sector 49,The Assetree,Approved by RERA,, Godrej Aristocrat,Godrej,Apartment
1091,37800000,3,34678,Under Construction,3 BHK Apartment in Godrej Aristocrat,Sector 49,The Assetree,Approved by RERA,, Godrej Aristocrat,Godrej,Apartment
1091,37800000,3,34678,Under Construction,3 BHK Apartment in Godrej Aristocrat,Sector 49,The Assetree,Approved by RERA,, Godrej Aristocrat,Godrej,Apartment
1002,34700000,3,34665,Under Construction,3 BHK Apartment in Godrej Aristocrat,Sector 49,The Assetree,Approved by RERA,, Godrej Aristocrat,Godrej,Apartment
1002,34700000,3,34665,Under Construction,3 BHK Apartment in Godrej Aristocrat,Sector 49,The Assetree,Approved by RERA,, Godrej Aristocrat,Godrej,Apartment
2470,45000000,3,18218,Ready to move,3 BHK Apartment in Bestech Park View Spa,Sector 47,The Assetree,Not approved by RERA,, Bestech Park View Spa,Bestech,Apartment
3460,58000000,4,16763,Ready to move,4 BHK Apartment in Experion Windchants,Sector 112,The Assetree,Not approved by RERA,, Experion W,Experion,Apartment
2579,28000000,3,10856,Ready to move,3 BHK Apartment in Adani M2K Oyster Grande,Sector 102,The Assetree,Not approved by RERA,, Adani M2K Oyster Grande,Adani,Apartment
1300,19900000,3,15307,Ready to move,3 BHK Independent Floor in Anant Raj Estate Plots,Sector 63,Rising Realtors,Not approved by RERA,, Anant Raj Estate Plots,Anant,Floor
1305,21500000,3,16475,Under Construction,3 BHK Apartment in Signature Global City 63A,Sector 63A,Rising Realtors,Approved by RERA,, Signature Global City 63A,Signature,Apartment
1590,19000000,2,11949,Ready to move,2 BHK Apartment in Ireo The Corridors,Sector 67,Thirty Three Estates Developers,Not approved by RERA,, Ireo The Corridors,Ireo,Apartment
1313,26500000,3,20200,Ready to move,3 BHK Apartment in Godrej Air,Sector 85,home,Not approved by RERA,, Godrej Air,Godrej,Apartment
1951,39400000,4,20200,Ready to move,4 BHK Apartment in Godrej Air,Sector 85,Property In Gurgaon,Not approved by RERA,, Godrej Air,Godrej,Apartment
