,Titles,Author
0,Ueber den Umgang mit Menschen,Adolph Freiherrn Knigge
1,Entstehung und Ausbreitung der Alchemie,Edmund von Lippmann
2,A greater than Napoleon,Sir Basil Henry Liddell Hart
3,Molly Gavin's own cookbook,Molly Gavin
4,"Motion pictures, January-June 1977",Library of Congress. Copyright Office
5,Outward bound,Sutton Vane
6,Isten igÃ¡jÃ¡ban II.,JÃ³zsef NyirÅ
7,Isten igÃ¡jÃ¡ban I.,JÃ³zsef NyirÅ
8,Lord Lister No. 0040: De valsche spoorwegdief,"Kurt Matull, Theo von Blankensee"
9,Spanish colonial literature in South America,Bernard Moses
10,"Frankenstein; Or, The Modern Prometheus",Mary Wollstonecraft Shelley
11,"Moby Dick; Or, The Whale",Herman Melville
12,Pride and Prejudice,Jane Austen
13,Romeo and Juliet,William Shakespeare
14,The Complete Works of William Shakespeare,William Shakespeare
15,A Christmas Carol in Prose; Being a Ghost Story of Christmas,"Charles Dickens, John Leech"
16,Middlemarch,George Eliot
17,A Room with a View,E. M. Forster
18,Crime and Punishment,"Fyodor Dostoyevsky, Constance Garnett"
19,Alice's Adventures in Wonderland,Lewis Carroll
