,Name,Age,Ram,Storage,Price,sd_card,Rating
0,Pixel,4,8,1,81416,1,5
1,Realme,5,2,512,99554,2,1
2,Nokia,4,16,512,46604,1,5
3,Nokia,4,8,512,83190,1,1
4,Vivo,1,16,256,37993,1,1
5,Pixel,3,4,256,72935,1,1
6,Vivo,3,4,512,44857,1,5
7,Realme,4,2,1,16425,1,1
8,Samsung,1,4,256,16809,1,5
9,Samsung,1,2,1,70938,2,5
10,Motorola,5,16,128,40276,1,5
11,Nokia,5,6,512,84396,1,1
12,Oppo,1,16,1,47721,2,1
13,Vivo,2,8,512,98884,1,5
14,Pixel,5,6,128,59795,1,5
15,Pixel,2,2,128,55843,1,5
16,Nokia,5,8,256,52029,1,1
17,Oppo,3,6,256,41546,1,5
18,Pixel,2,2,1,84252,2,5
19,Pixel,3,16,256,45220,1,1
20,Apple,5,4,256,26667,2,1
21,Samsung,4,8,128,13241,2,5
22,OnePlus,5,8,512,91310,1,5
23,Nokia,5,8,256,17729,2,1
24,Oppo,5,16,512,64777,1,1
25,Motorola,5,16,128,69024,2,1
26,Samsung,5,16,512,67714,1,1
27,OnePlus,1,6,256,57683,1,5
28,OnePlus,2,4,128,60890,1,1
29,Oppo,2,6,128,31651,1,1
30,Oppo,1,6,512,37799,1,1
31,Apple,5,16,512,24568,1,5
32,Motorola,1,2,1,65955,2,1
33,Vivo,3,16,1,64314,2,5
34,Samsung,4,8,256,86826,2,5
35,OnePlus,2,16,256,15416,2,1
36,Apple,4,6,128,45588,2,5
37,OnePlus,5,16,512,12291,2,1
38,Nokia,3,6,512,32448,2,1
39,Realme,3,6,256,20710,1,5
40,Nokia,2,16,512,68663,1,5
41,Pixel,1,2,1,67627,2,1
42,Realme,2,6,256,77460,1,1
43,Samsung,4,4,128,42347,1,5
44,OnePlus,3,4,512,43440,2,1
45,Vivo,1,4,1,19552,1,1
46,Oppo,4,8,1,15340,1,1
47,Motorola,4,16,256,17059,1,5
48,Vivo,4,8,128,69074,2,1
49,Nokia,4,6,128,96950,1,5
50,Vivo,4,16,128,79251,2,1
51,Oppo,2,8,512,60103,1,1
52,OnePlus,1,2,128,46211,2,5
53,Apple,2,2,512,80994,1,1
54,Oppo,2,2,512,30866,2,1
55,Motorola,1,6,512,21592,2,1
56,Pixel,2,16,512,52838,1,5
57,Pixel,4,16,128,32584,1,1
58,Nokia,2,8,1,50383,2,5
59,Nokia,3,16,1,26702,2,5
60,Pixel,5,8,128,84822,1,5
61,Oppo,5,16,128,49055,1,1
62,Vivo,4,4,1,17113,2,5
63,Nokia,4,4,256,60125,2,5
64,Samsung,3,2,256,10539,2,5
65,Oppo,5,8,256,10718,1,5
66,Realme,4,4,256,32875,2,5
67,Realme,2,4,512,11167,1,5
68,Apple,5,2,512,32106,1,1
69,Nokia,4,6,512,95629,2,5
70,Redmi,2,6,256,12769,1,1
71,Apple,3,2,512,41109,1,5
72,Oppo,1,2,512,99995,1,5
73,Realme,1,8,256,88678,1,5
74,Apple,4,8,512,35275,2,5
75,Nokia,5,8,128,52622,1,5
76,Samsung,5,8,256,46699,2,5
77,OnePlus,1,6,1,17916,1,1
78,OnePlus,2,6,256,46395,2,1
79,Vivo,5,8,128,36851,1,5
80,Samsung,1,2,256,61134,2,1
81,Apple,2,16,512,96825,1,1
82,Pixel,5,16,128,40312,1,5
83,Pixel,3,4,256,96902,1,5
84,Samsung,1,2,512,61952,1,5
85,Pixel,4,6,1,38688,1,5
86,Pixel,1,16,256,26742,2,1
87,Pixel,2,16,512,99986,1,5
